,id,conversation_id,created_at,date,tweet,language,hashtags
10,1547967612553834496,1547967612553834496,1657899213000.0,2022-07-15 15:33:33,#India,qht,['india']
11,1547967564885544960,1547967564885544960,1657899201000.0,2022-07-15 15:33:21,"Hindu Population of India in 1947 = 84% Hindu Population of India in 2022 = 79% Massive decline of 5% Who persecuted #Hindus in their own Homeland, India??🤔🤔 I think #INC, $BJP and #RSS !! 😂😂😂😂 #India #IndiaRankings2022 #PakistanZindabad #Modi   https://t.co/sAnZhi9KLM",en,"['hindus', 'inc', 'rss', 'india', 'indiarankings2022', 'pakistanzindabad', 'modi']"
12,1547967508329639938,1547967508329639938,1657899188000.0,2022-07-15 15:33:08,"One of the most shameless, obsconding corrupted person @LalitKModi is seeing #SushmitaSen &amp; these disgrace #Bollywood artists who are the most heartless pathetic people on earth, follows a inhuman person that has eaten India's money.  #LalitModi #SushmitaSenLalitModi #India",en,"['sushmitasen', 'bollywood', 'lalitmodi', 'sushmitasenlalitmodi', 'india']"
13,1547967327940907008,1547967327940907008,1657899145000.0,2022-07-15 15:32:25,Opaque Watercolor Supervision watercolor paints.  #supervision watercolor #russiawatercolors#japaneaswatercolors  #israelwatercolor #水彩画 #watercolour_planet #watercolorstudy #artpainting #india watercolor #जल रंग काम करता है #Watercolor works #Watercolor illustration  https://t.co/b7r7KI4hT0,und,"['supervision', 'israelwatercolor', '水彩画', 'watercolour_planet', 'watercolorstudy', 'artpainting', 'india', 'जल', 'watercolor', 'watercolor']"
14,1547967230909960192,1547967230909960192,1657899122000.0,2022-07-15 15:32:02, https://t.co/oplBpOZ3cN Donate for Shalini to beat her cancer for the second time. @idevadhikari @swastika24 @mimichakraborty @nusratchirps @rupamislam74 @MamataOfficial @RukminiMaitra @bonysengupta  #crowdfunding #India #Cancer #youngcancer #hope #Help  https://t.co/Mik2Rzh4ej,en,"['crowdfunding', 'india', 'cancer', 'youngcancer', 'hope', 'help']"
15,1547967149842448386,1547967149842448386,1657899103000.0,2022-07-15 15:31:43, https://t.co/EVGCepM56J #India,qme,['india']
16,1547967114438266882,1547967114438266882,1657899094000.0,2022-07-15 15:31:34,"Olso #IMO2022 #India got 1 Gold &amp; 5 Bronze Medals Congratulations Pranjal Shrivastava, 3rd time Gold.  #China got the top Rank breaking all monumental records, 6 Students are Gold with all perfect scores, making the country score 252/252. It appears some magic but it is indeed.  https://t.co/2MwWzFmFe9",en,"['imo2022', 'india', 'china']"
17,1547967103558225921,1547967103558225921,1657899091000.0,2022-07-15 15:31:31,"#Internacional | DETETECTAN EN INDIA PRIMER CASO DE VIRUELA DEL MONO  La #ViruelaSímica se continúa expandiendo por todo el mundo, en esta ocasión el gobierno federal  de la #India, ha notificado el primer caso de esta enfermedad en el país.     https://t.co/jjEtmg3WEK",es,"['internacional', 'viruelasímica', 'india']"
18,1547967014500593667,1547967014500593667,1657899070000.0,2022-07-15 15:31:10,"एक भारतीय ऋषि सुनक को ब्रिटेन के प्रधानमंत्री बनने पर हार्दिक बधाई। जिस ब्रिटेन ने 250 साल तक भारत पर हुकूमत किया, आज वहाँ का प्रधानमंत्री एक भारतीय बन गया है | यह हर भारतवासियों के लिए गर्व की बात है।  जय हिन्द 🇮🇳🇮🇳 #TwitterDown #BritainPM #india  https://t.co/Ti5bmm8Thn",hi,"['twitterdown', 'britainpm', 'india']"
19,1547966983768903680,1547966983768903680,1657899063000.0,2022-07-15 15:31:03,#India #Change,qht,"['india', 'change']"
20,1547966879112671232,1547966879112671232,1657899038000.0,2022-07-15 15:30:38,Pick a different wicketkeeper-batsman for each of the 3 formats 👇  ⚪ T20I: ❓ 🔴 Test: ❓ ⚪ ODI: ❓  📸: Sport360  #MohammadRizwan #RishabhPant #QuintondeKock #JosButtler #PAKvSL #SLvPAK #ENGvIND #INDvENG #Pakistan #India #SouthAfrica #England #Cricket #CricketTwitter  https://t.co/N4VN4hR3XN,en,"['mohammadrizwan', 'rishabhpant', 'quintondekock', 'josbuttler', 'pakvsl', 'slvpak', 'engvind', 'indveng', 'pakistan', 'india', 'southafrica', 'england', 'cricket', 'crickettwitter']"
21,1547966870728257536,1547966870728257536,1657899036000.0,2022-07-15 15:30:36,"#EmergingMarkets dedicated equity fund weekly inflow, &gt;$1 billion #China offset  region-frontier theme flight @EPFR tracking. 2/3 mainland allocate #ESG vehicle, pre-empt #Russia fate. Redeem #Vietnam, #India. #Poland 3 mo high inflow cenbank ~20% inflation warn, #Mexico +run.",en,"['emergingmarkets', 'china', 'esg', 'russia', 'vietnam', 'india', 'poland', 'mexico']"
22,1547966759658958850,1547966759658958850,1657899009000.0,2022-07-15 15:30:09,Piyanka Mongia #piyankamongia #instagramreels #reels #tiktoks #reelsindia #india #tiktok #latestreels  https://t.co/URszxFSMzT,in,"['piyankamongia', 'instagramreels', 'reels', 'tiktoks', 'reelsindia', 'india', 'tiktok', 'latestreels']"
23,1547966734367277057,1547966734367277057,1657899003000.0,2022-07-15 15:30:03,Descubierta una nueva especie de macaco en los bosques del estado indio de Arunachal Pradesh. #Macacos #NuevasEspecies #Naturaleza #Monos #Primates #India  https://t.co/M26QHBYnaB,es,"['macacos', 'nuevasespecies', 'naturaleza', 'monos', 'primates', 'india']"
24,1547966721520062467,1547966721520062467,1657899000000.0,2022-07-15 15:30:00,Here are some key things that you can resort to when your bag is delayed or lost by an airline.  #iflynfeast #airlines #losebaggage #airlines #newsupdates #airport #india #carrier #travelwithcare #rules #indianairlines  https://t.co/Up5BtiV993,en,"['iflynfeast', 'airlines', 'losebaggage', 'airlines', 'newsupdates', 'airport', 'india', 'carrier', 'travelwithcare', 'rules', 'indianairlines']"
25,1547966721054711808,1547966721054711808,1657899000000.0,2022-07-15 15:30:00,सुष्मिता सेन को डेट करने वाले ललित मोदी का क्या है राजस्थान से रिश्ता?  Watch -  https://t.co/qgoSc4w9TM  #LalitModi #SushmitaSen #LalitModiSushmitaSen #dating #Viral #India #Rajasthan #rajasthantak  https://t.co/deXFmcnly6,hi,"['lalitmodi', 'sushmitasen', 'lalitmodisushmitasen', 'dating', 'viral', 'india', 'rajasthan', 'rajasthantak']"
26,1547966720366747648,1547966720366747648,1657899000000.0,2022-07-15 15:30:00,"Harsh V. Pant: As a major democracy and a rising economic power, #India’s participation is key in resolving global governance challenges and today, more than any other time in recent history, #NewDelhi is willing to play a role in providing solutions.  https://t.co/UQIFlELwhv",en,"['india', 'newdelhi']"
27,1547966719259398152,1547966719259398152,1657899000000.0,2022-07-15 15:30:00,अब अमेरिका ने भारत को बड़ी राहत देते हुए रूस से S-400 मिसाइल सिस्टम की खरीद पर बिल पास कर दी है  #NarrativeHindi #India #America #g7summit #NarendraModi #JoeBiden #China #missile @tribhovankamlya @RajeshP77076125 @pchandra4210 @iampkrajpoot    https://t.co/NbmScj5q4j,hi,"['narrativehindi', 'india', 'america', 'g7summit', 'narendramodi', 'joebiden', 'china', 'missile']"
28,1547966592989810693,1547966592989810693,1657898970000.0,2022-07-15 15:29:30,"Be Simplicity, Honest, Brave, Love yourself and family ♥️🌍   #simplicity #honestyquotes #brave #love #familylove #delhi #india  https://t.co/QMfyTc1fYM",en,"['simplicity', 'honestyquotes', 'brave', 'love', 'familylove', 'delhi', 'india']"
29,1547966568973598720,1547966568973598720,1657898964000.0,2022-07-15 15:29:24,Monasteries in #India [ #art and #culture  ]  https://t.co/o4d1WIp3Iv  #Ladakh #DalaiLama,en,"['india', 'art', 'culture', 'ladakh', 'dalailama']"
30,1547966516687020038,1547966516687020038,1657898952000.0,2022-07-15 15:29:12,#AskAbhijit where do you see #India in the field of technology in next 10 years..,en,"['askabhijit', 'india']"
31,1547966481920434181,1547966481920434181,1657898943000.0,2022-07-15 15:29:03,"New clinical wellness resort brand to debut in India, following 8bn rupee investment @KEFHoldings #health #wellness #clinicalwellness #medicalwellness #spa #fitness #nutrition #medicine #Tulah #India: Kerala, India, has been selected as the location for…  https://t.co/YeaKcYMKNn  https://t.co/itlbs8pBXF",en,"['health', 'wellness', 'clinicalwellness', 'medicalwellness', 'spa', 'fitness', 'nutrition', 'medicine', 'tulah', 'india']"
32,1547966481823961090,1547966481823961090,1657898943000.0,2022-07-15 15:29:03,"New clinical wellness resort brand to debut in India, following 8bn rupee investment @KEFHoldings #health #wellness #clinicalwellness #medicalwellness #spa #fitness #nutrition #medicine #Tulah #India  https://t.co/gecGdnIiDA  https://t.co/Wmn1GBpUMQ",en,"['health', 'wellness', 'clinicalwellness', 'medicalwellness', 'spa', 'fitness', 'nutrition', 'medicine', 'tulah', 'india']"
33,1547966432377393154,1547966432377393154,1657898931000.0,2022-07-15 15:28:51,"पावसाळ्यातील मरीन ड्राईव्ह, #मुंबई #India  https://t.co/3ZeJhaSDCl  https://t.co/N2eX0AlYLn",mr,"['मुंबई', 'india']"
34,1547966428669612038,1547966428669612038,1657898931000.0,2022-07-15 15:28:51,A9短片#8: A9 NCAP-Mclaren P1 Safety test(狂野飆車9 ASPHALT 9)  https://t.co/4T1QpLGIxb  #BharatNCAP #NCAP #Cars #India #Bharat #SaferCarsForIndia #EuroNCAP #GlobalNCAP,ja,"['bharatncap', 'ncap', 'cars', 'india', 'bharat', 'safercarsforindia', 'euroncap', 'globalncap']"
35,1547966378761523200,1547966378761523200,1657898919000.0,2022-07-15 15:28:39,#HamidAnsari | 'नुसरत मिर्जा ने इंटरव्यू में कहा है कि उसे हामिद अंसारी ने इनविटेशन नहीं दिया था': राजनीतिक विश्लेषक @tehseenp       @navikakumar #SawalPublicKa #India #Pakistan #ISI #NusratMirza  https://t.co/GN3WRyOvIQ,hi,"['hamidansari', 'sawalpublicka', 'india', 'pakistan', 'isi', 'nusratmirza']"
36,1547966294708076545,1547966294708076545,1657898899000.0,2022-07-15 15:28:19,#EarningsWithMC | #India’s listed life insurance companies could report one of the best growth metrics witnessed by the industry in the first quarter of any financial year.   Read what analysts expect ⏬  https://t.co/oVzeQHoL41  By @aparnaviyer02 | #Q1FY23 #LifeInsurance #COVID,en,"['earningswithmc', 'india', 'q1fy23', 'lifeinsurance', 'covid']"
37,1547966250290397185,1547966250290397185,1657898888000.0,2022-07-15 15:28:08,ਅਮਰੀਕਾ ਨੇ ਚੀਨ ਨੂੰ ਸਬਕ ਸਿਖਾਉਣ ਲਈ ਭਾਰਤ ਦੇ ਹੱਕ 'ਚ ਲਿਆ ਇਹ ਵੱਡਾ ਫੈਸਲਾ  https://t.co/pgx8HF1P6C #USA #America #CAATSA #CAATSAWaiver #Sanction #S400 #missile #deal #Russia #India #news #dailyhunt,pa,"['usa', 'america', 'caatsa', 'caatsawaiver', 'sanction', 's400', 'missile', 'deal', 'russia', 'india', 'news', 'dailyhunt']"
38,1547966244602621954,1547966244602621954,1657898887000.0,2022-07-15 15:28:07,#India's population on track to overtake #China in 2023.  https://t.co/OO36UlL2Ac,en,"['india', 'china']"
39,1547966163388272643,1547966163388272643,1657898867000.0,2022-07-15 15:27:47,Now it's official that USA is not going to impose sanctions on india as India got the waiver of sanctions under Countering America's Adversaries Through Sanctions Act #CAATSAWaiver #India #USA,en,"['caatsawaiver', 'india', 'usa']"
40,1547966135290568704,1547966135290568704,1657898861000.0,2022-07-15 15:27:41,"Monkeypox : मंकीपॉक्स को लेकर सरकार हुई अलर्ट, मरीज के संपर्क में आने वालों की 21 दिन तक होगी निगरानी; कल केरल में मिला पहला मामला #India #हेल्थ  https://t.co/gPjKT0M06M",hi,"['india', 'हेल्थ']"
41,1547966122070224899,1547966122070224899,1657898857000.0,2022-07-15 15:27:37,Indian company Adani Ports bought the Israeli port of Haifa #India  #Israel  #HaifaPort #aDANIPORT   https://t.co/R7e70KCir0,en,"['india', 'israel', 'haifaport', 'adaniport']"
42,1547966062422962178,1547966062422962178,1657898843000.0,2022-07-15 15:27:23,"“Use Of military Power Outdated”, Dala Lama Tells India &amp; China During His Ladakh Visit   @DalaiLama @PMOIndia @DrSJaishankar  #dalailama #spiritualleader #tibet #ladakh #jammu #india #china #tibetstand #autonomy #indiachinaconflict #militaryforce    https://t.co/BijOlyTvVK  https://t.co/hiY2FysFlt",en,"['dalailama', 'spiritualleader', 'tibet', 'ladakh', 'jammu', 'india', 'china', 'tibetstand', 'autonomy', 'indiachinaconflict', 'militaryforce']"
43,1547966010329747457,1547966010329747457,1657898831000.0,2022-07-15 15:27:11,"We were very excited to be in #India last week, talking about the @GEEAP_  report ‘Prioritising learning during Covid-19’ and visiting local schools to see @Pratham_India #TaRL in practice  Read the report here:   https://t.co/Z2Yh4QNfrJ  #GEEAP #EvidenceInEducation",en,"['india', 'tarl', 'geeap', 'evidenceineducation']"
44,1547965875629658113,1547965875629658113,1657898799000.0,2022-07-15 15:26:39,कौन कौन एयरटेल  नेटवर्क सर्विस से परेशान हैं वह व्यक्ति इस ट्वीट के माध्यम से अपनी शिकायत दर्ज कराएं ताकि भारती एयरटेल कंपनी का पूर्ण बहिष्कार हो रीचार्ज का पैसा पूरा जाता है और सर्विस न के बराबर है इनकी बस जुमला बाजी करते हैं ये बायगोट Airtel  #Airtel #India #BhartiAirtel  https://t.co/U0fPrReSdJ,hi,"['airtel', 'india', 'bhartiairtel']"
45,1547965761800798210,1547965761800798210,1657898772000.0,2022-07-15 15:26:12,"BIG NEWS / મોંઘવારીનો માર: તેલંગણામાં સૌથી વધારે ફુગાવો, જોઈ લો ગુજરાતમાં શું છે મોંઘવારીના આંકડા  #inflation #india #Gujarat    https://t.co/YGjBSNbe3P",gu,"['inflation', 'india', 'gujarat']"
46,1547965746252156929,1547965746252156929,1657898768000.0,2022-07-15 15:26:08,"#HamidAnsari | कांग्रेस सरकार में कौन ये फैसला ले रहा था कि हामिद अंसारी के साथ मंच पर कौन बैठेगा और कौन नहीं?: देखिए, इस सवाल पर क्या बोले राजनीतिक विश्लेषक @tehseenp       @navikakumar #SawalPublicKa #India #Pakistan #ISI #NusratMirza  https://t.co/xzNV9a8uX4",hi,"['hamidansari', 'sawalpublicka', 'india', 'pakistan', 'isi', 'nusratmirza']"
47,1547965712215441408,1547965712215441408,1657898760000.0,2022-07-15 15:26:00,Men's Sleeveless Tshirts 100% Polyester M L XL XXL Regular Fit For Info: 📱 +91 9840047698 📧 info@karavirs.com  #karavirs #sports #gym #tshirt #tshirts   #india #menswear #mensfashion #shopping #fashion #style #streetstyle #Mumbai #TamilNadu #Brand #clothes #Retail #wholesale  https://t.co/4BrEeEPQ2j,nl,"['karavirs', 'sports', 'gym', 'tshirt', 'tshirts', 'india', 'menswear', 'mensfashion', 'shopping', 'fashion', 'style', 'streetstyle', 'mumbai', 'tamilnadu', 'brand', 'clothes', 'retail', 'wholesale']"
48,1547965688014585856,1547965688014585856,1657898754000.0,2022-07-15 15:25:54,The Hidden Health Crisis of India – Snakebite : What do we need to know? #bsvwithu #awareness #snakebite #snakebitedeaths #asvs #EmergencyMedicine #India  https://t.co/gsCisIXy3u,en,"['bsvwithu', 'awareness', 'snakebite', 'snakebitedeaths', 'asvs', 'emergencymedicine', 'india']"
49,1547965648118042624,1547965648118042624,1657898744000.0,2022-07-15 15:25:44,Koffee With Karan 7: Saif Ali Khan Likes Daughter Sara's Films As Long As They Aren't... - NDTV Movies #news #headlines #india #IndiaNews  https://t.co/tbF5TUk14D,en,"['news', 'headlines', 'india', 'indianews']"
50,1547965495936430080,1547965495936430080,1657898708000.0,2022-07-15 15:25:08,"ಎಲ್ಲರಿಗೂ ನಮಸ್ಕಾರಗಳು, ನಮ್ಮ ಎಲ್ಲಾ ರಾಜ್ಯಗಳ ಕೃಷಿ ಸಚಿವರ @nstomar ಜೀ ಸರ್ ಅವರ ರಾಷ್ಟ್ರೀಯ ಕೃಷಿ ಸಮ್ಮೇಳನ, ಬೆಂಗಳೂರು, ಧನ್ಯವಾದಗಳು. - ನಿಮ್ಮ ಅಮೋಘ ಶಂಭು #AmoghShambu, ಬರಹಗಾರ ಮತ್ತು ಚಲನಚಿತ್ರ ನಿರ್ದೇಶಕ. #India #NewDelhi #Karnataka #Bangalore #NationalConference  #AatmaNirbharKrishi @BJP4India",kn,"['amoghshambu', 'india', 'newdelhi', 'karnataka', 'bangalore', 'nationalconference', 'aatmanirbharkrishi']"
51,1547965473723076608,1547965473723076608,1657898703000.0,2022-07-15 15:25:03,"New clinical wellness resort brand to debut in India, following 8bn rupee investment @KEFHoldings #health #wellness #clinicalwellness #medicalwellness #spa #fitness #nutrition #medicine #Tulah #India  https://t.co/zbxrGOyIxo  https://t.co/K1KJD7cwqi",en,"['health', 'wellness', 'clinicalwellness', 'medicalwellness', 'spa', 'fitness', 'nutrition', 'medicine', 'tulah', 'india']"
52,1547965337303298050,1547965337303298050,1657898670000.0,2022-07-15 15:24:30,Muslims deserve justice and due process. Bihar police should stop complicating innocent Muslims in false terror cases. #BiharPoliceKaJhoot #India WithPFI,en,"['biharpolicekajhoot', 'india']"
53,1547965321062912001,1547965321062912001,1657898667000.0,2022-07-15 15:24:27,"#Pakistan से #India आए हिंदुओं ने बयां किया अपना दर्द, #CMYogi से जताई ये उम्मीद  #PakistaniHindu   https://t.co/J30MW9bXdZ",hi,"['pakistan', 'india', 'cmyogi', 'pakistanihindu']"
54,1547965273755766785,1547965273755766785,1657898655000.0,2022-07-15 15:24:15,🌸 Dharmasamvad : Fundamental parts of Hindu culture: Vedas and Sanatan Dharmagranth (Part 32) (Re-telecast)  ▫️ Manusmriti: Objections and Rebuttals (Part 3)  ▫️ मनुस्मृति : आक्षेप और खंडन  🎥 YouTube Link !! ▫️ https://t.co/OeUKNGWXXp  #hinduism #India,et,"['hinduism', 'india']"
55,1547965266469867520,1547965266469867520,1657898653000.0,2022-07-15 15:24:13,Any time a Muslim can be arrested without any reason. Their identity is enough reason that no question will be raised. Bihar police just proved that. #Bihar PoliceKaJhoot #India WithPFI,en,"['bihar', 'india']"
56,1547965248313126912,1547965248313126912,1657898649000.0,2022-07-15 15:24:09,"#newsupdate After Row Over Citing RSS To Describe Terror Module Linked to Popular Front Of India, Bihar Police Officer Clarifies: Wasn't Comparing, But... Read the news #India from Rohit Kumar by visiting the link  https://t.co/F8EaSXMsmO.   #newsnight #newsalert  https://t.co/aLLtGHQgZZ",en,"['newsupdate', 'india', 'newsnight', 'newsalert']"
57,1547964969551286272,1547964969551286272,1657898583000.0,2022-07-15 15:23:03,"🇮🇳 बिटकॉइन(BTC) आर्बिट्रेज संभावना ‼   ✅BestAsk Exchange:Wazirx   ⬇Price (BUY): 1BTC = 1,707,000 INR   ✅BestBid Exchange:Zebpay   ⬆Price (SELL): 1BTC = 1,735,326 INR  💰💴Trading Profit💴💰28,326 INR #Bitcoin #BTC #India #BTCINR #Arbitrage",en,"['bitcoin', 'btc', 'india', 'btcinr', 'arbitrage']"
58,1547964862906544129,1547964862906544129,1657898557000.0,2022-07-15 15:22:37,2014 is the year for  #IndianFootball and #India as a whole which didn't bring achche din and tried to destroy the real achche din pre 2014,en,"['indianfootball', 'india']"
59,1547964823324856320,1547964823324856320,1657898548000.0,2022-07-15 15:22:28,"भारत में इतने तेजस्वी नेताओं ने  18 , 18 काम करने के बाद भारत में  ग़रीबी, बेरोजगारी, भुखमरी,घोटाले, महगाई, रुपये के घटती वैल्यू,15 करोड़ का  जुमला, किसानों की आय दोगनी करने का जुमला। भारत को सोने की चिड़ियाँ बनाने का जुमला,🚩🇮🇳🖋 जय हिंद जय भारत #jumlakingmodi #India #NEET2022",hi,"['jumlakingmodi', 'india', 'neet2022']"
60,1547964675991556101,1547964675991556101,1657898513000.0,2022-07-15 15:21:53,"#HamidAnsari | जब आपके ऊपर दबाव डाला गया तो आपने नुसरत मिर्जा को बुलाया.. हां या नहीं? देखिए, इस सवाल पर क्या बोले 2010 कांफ्रेंस के आयोजक आदिश अग्रवाल   @navikakumar #SawalPublicKa #India #Pakistan #ISI #NusratMirza  https://t.co/jBdEgFLvKi",hi,"['hamidansari', 'sawalpublicka', 'india', 'pakistan', 'isi', 'nusratmirza']"
61,1547964579979747330,1547964579979747330,1657898490000.0,2022-07-15 15:21:30,"हमें गर्व है, भारतीय होने का क्योंकि भारत विश्व के दिल में में बसता है, जय हिंद🇮🇳🙏 #India  #World  https://t.co/tOQU2BtTh2",hi,"['india', 'world']"
62,1547964578902208513,1547964578902208513,1657898490000.0,2022-07-15 15:21:30,शानदार बात कही गई है 🙂 इसे समझने की जरूरत है आज के परिपेक्ष्य में... #IndependenceDay #india #hindumuslim_bhaibhai,hi,"['independenceday', 'india', 'hindumuslim_bhaibhai']"
63,1547964506629758978,1547964506629758978,1657898472000.0,2022-07-15 15:21:12,She was working as an accounts officer at an Indian energy company. Here's what she did:   https://t.co/5eRNNFIgI5  #fraud #money #India #accountant #crime,en,"['fraud', 'money', 'india', 'accountant', 'crime']"
64,1547964477731000321,1547964477731000321,1657898465000.0,2022-07-15 15:21:05,The #MahabodhiTemple was originally built by #Ashoka ca. 250 BCE to mark the spot Gautama #Buddha achieved enlightenment in what is now modern-day #India  https://t.co/vBJJ2exgFR,en,"['mahabodhitemple', 'ashoka', 'buddha', 'india']"
65,1547964453722787841,1547964453722787841,1657898460000.0,2022-07-15 15:21:00,#India fight korona,pl,['india']
66,1547964453009838082,1547964453009838082,1657898460000.0,2022-07-15 15:21:00,Dear #SupremeCourtOfIndia  can't you see who the hell are trying to dismantle the harmony of #India. If you can't handle all those jihadist then leave it to us. we can teach them right things of #Bharat. #HarHarMahadevॐ 🚩🚩🚩🙏  https://t.co/sxP7QQeRSQ,en,"['supremecourtofindia', 'india', 'bharat', 'harharmahadevॐ']"
67,1547964298579693573,1547964298579693573,1657898423000.0,2022-07-15 15:20:23,Radhe Radhe...  #Help #helpindia #IndianArmy #India #Gujarat #gujaratfirst #education #freeedu  https://t.co/NQGglLZYKv,hi,"['help', 'helpindia', 'indianarmy', 'india', 'gujarat', 'gujaratfirst', 'education', 'freeedu']"
68,1547964228203450368,1547964228203450368,1657898406000.0,2022-07-15 15:20:06,"States must be on same page on EV policies; Indian IT spends to grow 7.7% this year, says Gartner #5ire #crypto #elonmusk #EVs #India #indianit #nirmalasitharaman #opensea #PCs #toi #Twitter  https://t.co/Y2P5QYqFZx  https://t.co/3LJ3V5de7p",en,"['5ire', 'crypto', 'elonmusk', 'evs', 'india', 'indianit', 'nirmalasitharaman', 'opensea', 'pcs', 'toi', 'twitter']"
69,1547964218908872707,1547964218908872707,1657898404000.0,2022-07-15 15:20:04,#Today #lockown is causing #Global #outcry Its worse in #India #Mumbai #Brazil #USA They need #HELP to live. 1 can get #ebook @ #Amazon  https://t.co/utADwz2YYX #humanityisdead is wrong  https://t.co/3lYFO2AuCG gives for #FREE  https://t.co/fAdIxjfPfw,en,"['today', 'lockown', 'global', 'outcry', 'india', 'mumbai', 'brazil', 'usa', 'help', 'ebook', 'amazon', 'humanityisdead', 'free']"
70,1547964191914758146,1547964191914758146,1657898397000.0,2022-07-15 15:19:57,Places to visit in Lansdowne #uttrakhand #india #travel #photography #travelblog #Blog #Tourism #lansdowne 🌍🌄⛰️❣️  https://t.co/GjAfclCV1G,en,"['uttrakhand', 'india', 'travel', 'photography', 'travelblog', 'blog', 'tourism', 'lansdowne']"
71,1547963964264677376,1547963964264677376,1657898343000.0,2022-07-15 15:19:03,"🇮🇳 बिटकॉइन(BTC) आर्बिट्रेज संभावना ‼   ✅BestAsk Exchange:Wazirx   ⬇Price (BUY): 1BTC = 1,696,129 INR   ✅BestBid Exchange:Zebpay   ⬆Price (SELL): 1BTC = 1,734,427 INR  💰💴Trading Profit💴💰38,298 INR #Bitcoin #BTC #India #BTCINR #Arbitrage",en,"['bitcoin', 'btc', 'india', 'btcinr', 'arbitrage']"
72,1547963918185664514,1547963918185664514,1657898332000.0,2022-07-15 15:18:52,📢We are searching for an influential and empathetic leader to be our Representative in #India 🇮🇳  Apply early / Help us spread the word!   https://t.co/JHopREoc6L  https://t.co/VFDrkmzsIA,en,['india']
